Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Holiday,Weather_Temperature_Avg,Weather_Wind_Speed_Avg,Weather_Precipitation_Sum,Weather_Relative_Humidity_Avg
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-01,47847.0,1.0,2.0409167,10.893682,0.0,93.08753
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-02,82252.0,0.0,1.5179998,11.194612,0.4,92.915436
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-03,82937.0,0.0,2.3555,11.503015,3.3999999,91.947365
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-04,96718.0,0.0,3.817999,16.637802,2.7999995,85.86285
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-05,92164.0,0.0,3.3575838,13.275683,3.0,88.68702
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-06,124671.0,0.0,1.0263333,7.8981814,0.5,94.56757
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-07,175277.0,0.0,0.918,13.558056,1.1,93.427864
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-08,153582.0,0.0,-0.7840832,9.090919,0.0,86.65156
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-09,172194.0,0.0,1.1409167,14.115716,0.0,77.86123
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-10,176388.0,0.0,4.7513337,20.322557,0.0,94.153114
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-11,208271.0,0.0,8.770082,26.588423,8.099999,91.39139
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-12,232555.0,0.0,6.768,9.27056,8.900001,92.3862
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-13,74113.0,0.0,10.490917,22.290232,3.8999999,93.234505
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-14,76062.0,0.0,6.0346665,15.276612,0.0,91.55392
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-15,75756.0,0.0,6.7638335,17.175554,5.3,87.67304
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-16,72861.0,0.0,6.7617497,23.949415,0.1,81.48061
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-17,55876.0,0.0,5.2763333,19.138018,0.4,85.29278
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-18,65132.0,0.0,7.5013337,14.027786,10.2,89.95117
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-19,62513.0,0.0,10.368001,21.801865,12.8,90.8944
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-01-20,67197.0,0.0,3.5409164,13.816701,8.0,95.08784
