apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,Country_dp,City_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,City_ds,Country_ds,trip_class,price,ticket_sold_by,travel_type
Toronto Pearson International Airport,YYZ,2025-11-29,17:25:00,Canada,Toronto,Dublin Airport,DUB,2025-11-30,05:15:00,Dublin,Ireland,Economy,766,['American'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,19:35:00,Canada,Toronto,Dublin Airport,DUB,2025-11-30,07:10:00,Dublin,Ireland,Economy,580,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2025-12-06,17:25:00,Canada,Toronto,Dublin Airport,DUB,2025-12-07,05:15:00,Dublin,Ireland,Economy,766,['American'],One way
Toronto Pearson International Airport,YYZ,2025-12-06,19:35:00,Canada,Toronto,Dublin Airport,DUB,2025-12-07,07:10:00,Dublin,Ireland,Economy,1097,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2025-12-13,17:25:00,Canada,Toronto,Dublin Airport,DUB,2025-12-14,05:15:00,Dublin,Ireland,Economy,959,['American'],One way
Toronto Pearson International Airport,YYZ,2025-12-13,19:35:00,Canada,Toronto,Dublin Airport,DUB,2025-12-14,07:10:00,Dublin,Ireland,Economy,1155,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2025-12-20,17:25:00,Canada,Toronto,Dublin Airport,DUB,2025-12-21,05:15:00,Dublin,Ireland,Economy,1472,['American'],One way
Toronto Pearson International Airport,YYZ,2025-12-20,19:35:00,Canada,Toronto,Dublin Airport,DUB,2025-12-21,07:10:00,Dublin,Ireland,Economy,1588,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2025-12-27,17:25:00,Canada,Toronto,Dublin Airport,DUB,2025-12-28,05:15:00,Dublin,Ireland,Economy,819,['American'],One way
Toronto Pearson International Airport,YYZ,2025-12-27,19:35:00,Canada,Toronto,Dublin Airport,DUB,2025-12-28,07:10:00,Dublin,Ireland,Economy,1155,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2026-01-03,17:25:00,Canada,Toronto,Dublin Airport,DUB,2026-01-04,05:15:00,Dublin,Ireland,Economy,959,['American'],One way
Toronto Pearson International Airport,YYZ,2026-01-03,19:35:00,Canada,Toronto,Dublin Airport,DUB,2026-01-04,07:10:00,Dublin,Ireland,Economy,1468,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2026-01-10,17:25:00,Canada,Toronto,Dublin Airport,DUB,2026-01-11,05:15:00,Dublin,Ireland,Economy,819,['American'],One way
Toronto Pearson International Airport,YYZ,2026-01-10,19:35:00,Canada,Toronto,Dublin Airport,DUB,2026-01-11,07:10:00,Dublin,Ireland,Economy,1155,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2026-01-17,17:25:00,Canada,Toronto,Dublin Airport,DUB,2026-01-18,05:15:00,Dublin,Ireland,Economy,766,['American'],One way
Toronto Pearson International Airport,YYZ,2026-01-17,19:35:00,Canada,Toronto,Dublin Airport,DUB,2026-01-18,07:10:00,Dublin,Ireland,Economy,1097,['Lufthansa'],One way
Toronto Pearson International Airport,YYZ,2026-01-24,17:25:00,Canada,Toronto,Dublin Airport,DUB,2026-01-25,05:15:00,Dublin,Ireland,Economy,766,['American'],One way
Toronto Pearson International Airport,YYZ,2026-01-31,17:25:00,Canada,Toronto,Dublin Airport,DUB,2026-02-01,05:15:00,Dublin,Ireland,Economy,766,['American'],One way
Toronto Pearson International Airport,YYZ,2026-02-07,17:25:00,Canada,Toronto,Dublin Airport,DUB,2026-02-08,05:15:00,Dublin,Ireland,Economy,766,['American'],One way
Toronto Pearson International Airport,YYZ,2026-02-07,19:35:00,Canada,Toronto,Dublin Airport,DUB,2026-02-08,07:10:00,Dublin,Ireland,Economy,1097,['Lufthansa'],One way
