Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Hour,Pedestrian_Count,Weather_Temperature,Weather_Precipitation,Weather_Wind_Speed,Event_Flag,Holiday_Flag,Day_of_Week,Month,Season,Attraction_Score,Tourist_Saturation_Level
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-01,12,26105,9.06,4.55,7.79,0,1,6,1,Winter,3.448,0.098
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-02,12,34006,3.77,0.0,7.4,0,0,0,1,Winter,13.18,0.327
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-03,12,28863,18.91,2.5,10.15,0,0,1,1,Winter,33.055,0.629
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-04,12,41071,11.58,0.0,8.13,0,0,2,1,Winter,40.484,0.703
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-05,12,34058,14.3,0.88,10.27,0,0,3,1,Winter,41.194,0.709
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-06,12,44223,8.2,0.0,14.32,0,0,4,1,Winter,28.667,0.577
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-07,12,20774,5.27,0.0,14.71,0,0,5,1,Winter,20.635,0.462
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-08,12,20736,12.73,0.0,10.01,0,0,6,1,Winter,49.845,0.776
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-09,12,15271,5.67,2.09,20.5,0,0,0,1,Winter,11.537,0.293
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-10,12,34893,-6.75,0.0,17.41,0,0,1,1,Winter,0.0,0.0
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-11,12,24316,1.51,0.0,11.98,0,0,2,1,Winter,5.279,0.146
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-12,12,27464,0.47,0.0,17.29,0,0,3,1,Winter,1.643,0.048
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-13,12,28482,7.7,0.0,10.63,0,0,4,1,Winter,26.919,0.554
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-14,12,50358,8.95,0.0,14.53,0,0,5,1,Winter,35.044,0.651
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-15,12,54396,19.17,0.23,13.89,1,0,6,1,Winter,84.497,0.921
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-16,12,77068,12.93,0.0,13.04,1,0,0,1,Winter,53.34,0.798
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-17,12,28845,4.1,2.41,15.92,1,0,1,1,Winter,8.761,0.231
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-18,12,42388,9.7,0.0,15.46,1,0,2,1,Winter,40.015,0.699
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-19,12,40050,13.83,0.1,12.57,1,0,3,1,Winter,55.912,0.813
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-20,12,63939,10.33,0.0,15.87,1,0,4,1,Winter,42.614,0.722
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-21,12,56190,4.25,0.0,16.47,1,0,5,1,Winter,19.636,0.445
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-22,12,45208,4.73,0.0,9.82,1,0,6,1,Winter,21.854,0.481
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-23,12,21296,5.8,0.96,9.3,1,0,0,1,Winter,19.333,0.44
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-24,12,29761,11.67,0.0,12.19,1,0,1,1,Winter,48.142,0.764
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-25,12,42158,7.18,0.0,6.47,1,0,2,1,Winter,29.62,0.589
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-26,12,92449,21.12,0.0,14.45,1,1,3,1,Winter,84.116,0.92
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-27,12,44168,0.14,0.0,8.17,1,0,4,1,Winter,0.578,0.017
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-28,12,45847,2.53,0.0,16.36,1,0,5,1,Winter,11.689,0.296
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-29,12,47068,13.16,0.0,0.0,0,0,6,1,Winter,51.528,0.787
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-30,12,56696,10.19,0.0,5.09,0,0,0,1,Winter,35.624,0.657
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-01-31,12,62123,12.98,0.0,10.44,0,0,1,1,Winter,45.378,0.744
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-01,12,47900,24.91,0.0,14.16,0,0,2,2,Winter,52.755,0.795
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-02,12,30855,3.92,0.0,15.02,0,0,3,2,Winter,13.704,0.337
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-03,12,39855,6.95,0.0,10.85,0,0,4,2,Winter,24.297,0.518
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-04,12,40865,15.86,0.57,9.09,0,0,5,2,Winter,55.021,0.808
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-05,12,27683,-1.58,2.9,17.09,0,0,6,2,Winter,0.0,0.0
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-06,12,51648,10.46,0.0,13.49,0,0,0,2,Winter,36.568,0.666
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-07,12,31427,3.37,0.0,15.3,0,0,1,2,Winter,11.782,0.298
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-08,12,26035,13.22,0.0,9.64,0,0,2,2,Winter,46.217,0.75
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-09,12,26404,8.8,0.0,14.92,0,0,3,2,Winter,30.765,0.603
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-10,12,34144,10.45,1.29,6.97,0,0,4,2,Winter,27.108,0.557
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-11,12,36971,7.14,0.9,12.7,0,0,5,2,Winter,22.925,0.497
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-12,12,42828,18.1,0.0,9.62,0,0,6,2,Winter,70.871,0.881
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-13,12,67594,14.48,0.0,10.14,0,0,0,2,Winter,50.622,0.781
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-14,12,17824,11.88,0.0,12.26,0,0,1,2,Winter,41.532,0.712
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-15,12,33937,12.11,0.0,9.07,0,0,2,2,Winter,42.337,0.719
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-16,12,32801,13.13,0.44,6.95,0,0,3,2,Winter,41.863,0.715
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-17,12,27407,18.84,0.0,6.01,0,0,4,2,Winter,65.865,0.861
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-18,12,20459,6.31,0.0,15.56,0,0,5,2,Winter,24.707,0.523
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-19,12,23806,10.03,1.7,6.55,0,0,6,2,Winter,25.92,0.54
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-20,12,41304,13.93,0.0,10.97,0,0,0,2,Winter,48.699,0.768
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-21,12,40552,9.26,0.0,11.51,0,0,1,2,Winter,32.373,0.621
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-22,12,44859,16.55,0.0,10.73,0,0,2,2,Winter,57.859,0.824
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-23,12,31987,1.42,1.53,8.1,0,0,3,2,Winter,3.445,0.098
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-24,12,47981,23.6,0.0,11.28,0,0,4,2,Winter,57.334,0.821
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-25,12,26398,8.18,0.0,10.41,0,0,5,2,Winter,32.029,0.617
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-26,12,68258,3.25,0.0,15.07,0,0,6,2,Winter,12.725,0.317
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-27,12,43534,15.21,0.0,16.25,0,0,0,2,Winter,53.174,0.797
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-02-28,12,30905,3.76,0.0,8.78,0,0,1,2,Winter,13.145,0.326
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-01,12,65186,7.72,0.0,7.37,0,0,2,3,Spring,29.83,0.591
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-02,12,53786,12.4,2.11,12.57,0,0,3,3,Spring,27.694,0.564
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-03,12,51264,16.42,0.0,12.54,0,0,4,3,Spring,63.447,0.851
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-04,12,78940,16.42,0.0,9.5,0,0,5,3,Spring,71.061,0.881
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-05,12,55852,18.88,1.57,13.6,0,0,6,3,Spring,56.051,0.814
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-06,12,14404,11.23,0.0,7.9,0,0,0,3,Spring,43.393,0.728
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-07,12,53454,14.46,0.0,11.7,0,0,1,3,Spring,55.873,0.813
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-08,12,72113,20.01,0.0,5.82,0,0,2,3,Spring,77.241,0.901
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-09,12,40890,8.26,0.0,12.88,0,0,3,3,Spring,31.917,0.616
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-10,12,74376,16.17,0.0,14.88,0,0,4,3,Spring,62.481,0.847
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-11,12,20374,4.51,1.84,6.06,0,0,5,3,Spring,12.335,0.309
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-12,12,80202,14.71,0.0,4.09,0,0,6,3,Spring,63.66,0.852
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-13,12,74367,16.19,0.0,7.04,0,0,0,3,Spring,62.558,0.847
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-14,12,58894,19.79,0.41,7.51,0,0,1,3,Spring,70.198,0.878
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-15,12,26330,7.96,0.0,8.96,0,0,2,3,Spring,30.757,0.603
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-16,12,36815,14.99,1.04,6.86,0,0,3,3,Spring,45.874,0.747
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-17,12,32743,5.34,0.4,18.55,0,0,4,3,Spring,18.983,0.434
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-18,12,44358,22.34,0.0,9.27,0,0,5,3,Spring,76.427,0.899
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-19,12,87351,19.47,0.0,17.29,0,0,6,3,Spring,84.26,0.92
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-20,12,57266,32.29,0.0,10.91,0,0,0,3,Spring,29.791,0.591
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-21,12,46970,11.73,0.0,15.08,0,0,1,3,Spring,45.325,0.743
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-22,12,38462,5.69,0.0,13.03,0,0,2,3,Spring,21.986,0.483
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-23,12,38847,12.2,0.0,0.0,0,0,3,3,Spring,47.141,0.757
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-24,12,60008,16.67,2.35,9.48,0,0,4,3,Spring,34.139,0.641
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-25,12,83898,17.11,0.0,13.06,0,0,5,3,Spring,74.047,0.892
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-26,12,54995,12.57,0.0,10.57,0,0,6,3,Spring,54.399,0.804
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-27,12,32434,23.39,1.64,7.43,0,0,0,3,Spring,43.13,0.726
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-28,12,32547,27.09,4.67,8.38,0,0,1,3,Spring,3.292,0.094
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-29,12,48093,8.8,0.0,18.17,0,0,2,3,Spring,34.003,0.639
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-30,12,40442,15.34,1.95,14.08,0,0,3,3,Spring,36.157,0.662
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-03-31,12,42949,0.47,0.0,11.86,0,0,4,3,Spring,1.816,0.053
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-01,12,70502,8.94,0.0,6.35,0,0,5,4,Spring,38.689,0.687
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-02,12,59865,24.18,3.03,14.76,0,0,6,4,Spring,26.975,0.555
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-03,12,59818,29.38,0.0,10.89,0,0,0,4,Spring,41.036,0.708
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-04,12,56725,23.94,0.0,12.16,0,0,1,4,Spring,62.056,0.845
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-05,12,69045,19.62,0.0,18.37,0,0,2,4,Spring,75.812,0.897
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-06,12,49770,22.27,0.0,9.47,0,0,3,4,Spring,68.509,0.872
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-07,12,17900,13.44,3.49,7.09,0,0,4,4,Spring,15.684,0.375
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-08,12,61726,9.44,0.0,21.38,0,0,5,4,Spring,40.853,0.706
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-09,12,72194,15.87,0.0,8.93,0,0,6,4,Spring,68.68,0.873
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-10,12,41595,10.03,0.0,11.09,0,0,0,4,Spring,38.756,0.687
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-11,12,49897,23.01,0.0,10.18,0,0,1,4,Spring,65.649,0.86
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-12,12,33988,25.97,0.0,17.39,0,0,2,4,Spring,54.212,0.803
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-13,12,20322,12.95,0.0,8.99,0,0,3,4,Spring,50.039,0.777
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-14,12,25557,31.05,0.68,5.98,0,0,4,4,Spring,29.88,0.592
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-15,12,96430,18.96,0.0,9.87,0,0,5,4,Spring,82.053,0.915
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-16,12,76793,20.64,2.07,12.51,0,0,6,4,Spring,49.097,0.771
Australia,Melbourne,MEL-001,Flinders St Station,Transit Hub,Infrastructure,-37.8183,144.9671,2023-04-17,12,36824,8.21,0.0,9.0,0,0,0,4,Spring,31.723,0.614
