apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,trip_class,price,ticket_sold_by,travel_type
Toronto Pearson International Airport,YYZ,2025-11-29,00:30:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,01:53:00,Economy,212,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,06:20:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,07:48:00,Economy,212,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,06:30:00,Vancouver International Airport,YVR,2025-11-29,09:04:00,Economy,109,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,06:30:00,Calgary International Airport,YYC,2025-11-29,09:05:00,Economy,289,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,07:00:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,08:23:00,Economy,159,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,07:55:00,Vancouver International Airport,YVR,2025-11-29,10:20:00,Economy,96,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:00:00,Edmonton International Airport,YEG,2025-11-29,10:23:00,Economy,112,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:00:00,Edmonton International Airport,YEG,2025-11-29,10:33:00,Economy,112,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:00:00,Vancouver International Airport,YVR,2025-11-29,10:00:00,Economy,155,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:00:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,09:23:00,Economy,159,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:10:00,Calgary International Airport,YYC,2025-11-29,10:34:00,Economy,169,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:15:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,09:40:00,Economy,159,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,08:30:00,Vancouver International Airport,YVR,2025-11-29,10:47:00,Economy,155,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,09:00:00,Vancouver International Airport,YVR,2025-11-29,11:07:00,Economy,155,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,09:10:00,Vancouver International Airport,YVR,2025-11-29,11:29:00,Economy,142,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,09:15:00,Calgary International Airport,YYC,2025-11-29,11:42:00,Economy,105,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,09:30:00,Edmonton International Airport,YEG,2025-11-29,11:51:00,Economy,111,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,10:00:00,Edmonton International Airport,YEG,2025-11-29,12:23:00,Economy,112,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,10:00:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,11:23:00,Economy,212,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,10:00:00,Vancouver International Airport,YVR,2025-11-29,12:07:00,Economy,227,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,10:00:00,Calgary International Airport,YYC,2025-11-29,12:24:00,Economy,231,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,10:30:00,Vancouver International Airport,YVR,2025-11-29,13:04:00,Economy,308,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,11:00:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,12:22:00,Economy,159,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,12:00:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,13:22:00,Economy,212,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,12:25:00,Vancouver International Airport,YVR,2025-11-29,14:42:00,Economy,343,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,13:00:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,14:22:00,Economy,212,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,13:05:00,Calgary International Airport,YYC,2025-11-29,15:32:00,Economy,105,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,13:05:00,Vancouver International Airport,YVR,2025-11-29,15:24:00,Economy,207,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,13:15:00,Edmonton International Airport,YEG,2025-11-29,15:36:00,Economy,143,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,13:30:00,Calgary International Airport,YYC,2025-11-29,16:00:00,Economy,223,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,14:10:00,Calgary International Airport,YYC,2025-11-29,16:40:00,Economy,76,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,14:10:00,Vancouver International Airport,YVR,2025-11-29,16:27:00,Economy,283,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,14:40:00,Calgary International Airport,YYC,2025-11-29,17:04:00,Economy,169,[],One way
Toronto Pearson International Airport,YYZ,2025-11-29,15:30:00,Montréal-Pierre Elliott Trudeau International Airport,YUL,2025-11-29,16:55:00,Economy,159,['Air Transat'],One way
Toronto Pearson International Airport,YYZ,2025-11-29,16:00:00,Calgary International Airport,YYC,2025-11-29,18:32:00,Economy,105,[],One way
